,auc,f1s,auc_pr
0,0.9790209790209791,0.8148148148148148,0.9244831553360691
1,0.9514374514374514,0.9014084507042254,0.8612147796307502
2,0.9875440917107584,0.9318181818181818,0.9553719141426531
3,0.9720843672456576,0.8253968253968254,0.7946550833775208
4,0.9706944444444444,0.8484848484848485,0.8311579096890691
5,0.951923076923077,0.7536231884057971,0.7240516876349308
6,0.9806818181818182,0.8735632183908046,0.9368095225239328
7,0.9844924812030076,0.9473684210526315,0.9543891454097077
8,0.9651189651189652,0.8571428571428571,0.8645521192615431
9,0.9724988146040777,0.8780487804878049,0.8864057096816294
