,auc,f1s,auc_pr
0,0.852796052631579,0.7254901960784313,0.5251308677875121
1,0.9389619883040935,0.7764705882352941,0.7778215973184778
2,0.8792293233082707,0.7692307692307693,0.6422471168393513
3,0.8953924162257495,0.74,0.6737827286422627
4,0.9447727272727273,0.8351648351648352,0.8486373365096358
5,0.9018704255895907,0.6753246753246753,0.593408583682052
6,0.8925934213470575,0.7346938775510204,0.7036790528299448
7,0.9277272727272727,0.8041237113402062,0.7289319144430022
8,0.9146805273833671,0.75,0.680431085382335
9,0.9331718438301511,0.7397260273972602,0.6478530240830024
