,auc,f1s,auc_pr
0,0.9640507518796992,0.8505747126436781,0.8821970846362008
1,0.9869639376218324,0.8767123287671232,0.9564121431515941
2,0.9832001879699248,0.7878787878787878,0.9432948926346553
3,0.9865520282186948,0.9069767441860465,0.9580505002899058
4,0.9797727272727272,0.8421052631578947,0.9395345235368588
5,0.9907834101382489,0.8666666666666667,0.9663912448470275
6,0.9579324233609309,0.8205128205128205,0.780995828468899
7,0.9756818181818181,0.8607594936708861,0.8939149375814831
8,0.9667849898580121,0.8,0.849040174910822
9,0.9666571672841267,0.7868852459016393,0.8133953161483098
